device,d_s,id,m_i,d_t,sid,s_pre,type,a_cmd,d,s_post,a,c_i,a_i,c_s,t,c_a,val,d_p,c,a_s
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,320.0,E2_dim_alert_W1,,2026-01-13 22:05:13,,,W1,320,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-13 22:05:16,320.0,,,320,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 02:00:16,323.0,,,323,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,333.0,E1_turn_on_alert_W1,,2026-01-14 12:00:16,,,W1,333,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 12:00:18,333.0,,,333,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,335.0,E1_turn_on_alert_W1,,2026-01-14 14:00:12,,,W1,335,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,370.0,E2_dim_alert_W1,,2026-01-16 00:05:13,,,W1,370,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 14:05:14,384.0,,,384,
